route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
328,NMBS/SNCB,IC,Liège-Saint-Lambert -- Tournai,,103,,,
329,NMBS/SNCB,IC,Liège-Saint-Lambert -- Enghien,,103,,,
33,NMBS/SNCB,BUS,Malines -- Muizen,,700,,,
330,NMBS/SNCB,IC,Bruxelles-Midi -- Liège-Guillemins,,103,,,
331,NMBS/SNCB,L,Hasselt -- Louvain,,100,,,
332,NMBS/SNCB,IC,Namur -- Dinant,,103,,,
333,NMBS/SNCB,IC,Namur -- Yvoir,,103,,,
334,NMBS/SNCB,IC,Bruxelles-Midi -- Dinant,,103,,,
335,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Dinant,,103,,,
336,NMBS/SNCB,IC,Ottignies -- Bruxelles-Midi,,103,,,
337,NMBS/SNCB,IC,Ottignies -- Dinant,,103,,,
338,NMBS/SNCB,IC,Bruxelles-Midi -- Yvoir,,103,,,
339,NMBS/SNCB,IC,Ottignies -- Namur,,103,,,
34,NMBS/SNCB,BUS,Louvain -- Liège-Guillemins,,700,,,
340,NMBS/SNCB,S32,Roosendaal (NL) -- Kapellen,,100,,,
341,NMBS/SNCB,S32,Roosendaal (NL) -- Anvers-Central,,100,,,
342,NMBS/SNCB,S32,Roosendaal (NL) -- Boom,,100,,,
343,NMBS/SNCB,S32,Roosendaal (NL) -- Puurs,,100,,,
344,NMBS/SNCB,S32,Roosendaal (NL) -- Anvers-Berchem,,100,,,
345,NMBS/SNCB,S32,Essen -- Kapellen,,100,,,
346,NMBS/SNCB,S32,Anvers-Berchem -- Essen,,100,,,
347,NMBS/SNCB,S32,Anvers-Berchem -- Puurs,,100,,,
348,NMBS/SNCB,IC,Anvers-Central -- Hasselt,,103,,,
349,NMBS/SNCB,IC,Anvers-Central -- Aarschot,,103,,,
35,NMBS/SNCB,BUS,Willebroek -- Louvain,,700,,,
350,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Hasselt,,103,,,
351,NMBS/SNCB,IC,Anvers-Central -- Tongres,,103,,,
352,NMBS/SNCB,IC,Louvain -- Aarschot,,103,,,
353,NMBS/SNCB,IC,Anvers-Berchem -- Hasselt,,103,,,
354,NMBS/SNCB,S34,Anvers-Berchem -- Termonde,,100,,,
355,NMBS/SNCB,S34,Anvers-Berchem -- Lokeren,,100,,,
356,NMBS/SNCB,L,Louvain -- Saint-Nicolas,,100,,,
357,NMBS/SNCB,L,Willebroek -- Saint-Nicolas,,100,,,
358,NMBS/SNCB,L,Malines -- Saint-Nicolas,,100,,,
359,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Bruges,,103,,,
36,NMBS/SNCB,BUS,Mol -- Hamont,,700,,,
360,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Knokke,,103,,,
361,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Gand-Saint-Pierre,,103,,,
362,NMBS/SNCB,L,Anvers-Central -- Louvain,,100,,,
363,NMBS/SNCB,L,Louvain -- Aarschot,,100,,,
364,NMBS/SNCB,IC,Hasselt -- Liège-Guillemins,,103,,,
365,NMBS/SNCB,IC,Anvers-Central -- Liège-Guillemins,,103,,,
366,NMBS/SNCB,IC,Hasselt -- Tongres,,103,,,
367,NMBS/SNCB,S33,Anvers-Central -- Mol,,100,,,
368,NMBS/SNCB,IC,Gand-Saint-Pierre -- La Panne,,103,,,
369,NMBS/SNCB,IC,Anvers-Central -- La Panne,,103,,,
37,NMBS/SNCB,BUS,Louvain -- Landen,,700,,,
370,NMBS/SNCB,S20,Ottignies -- Louvain,,100,,,
371,NMBS/SNCB,S20,Louvain -- Sint-Joris-Weert,,100,,,
372,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Central,,103,,,
373,NMBS/SNCB,IC,Anvers-Central -- Binche,,103,,,
374,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Berchem,,103,,,
375,NMBS/SNCB,IC,Tournai -- Saint-Nicolas,,103,,,
376,NMBS/SNCB,IC,Mouscron -- Saint-Nicolas,,103,,,
377,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
378,NMBS/SNCB,IC,Termonde -- Courtrai,,103,,,
379,NMBS/SNCB,IC,Mouscron -- Termonde,,103,,,
38,NMBS/SNCB,BUS,Anvers-Central -- Puurs,,700,,,
380,NMBS/SNCB,IC,Tournai -- Courtrai,,103,,,
381,NMBS/SNCB,IC,Ath -- Courtrai,,103,,,
382,NMBS/SNCB,IC,Ath -- Saint-Nicolas,,103,,,
383,NMBS/SNCB,S9,Bruxelles-Luxembourg -- Louvain,,100,,,
384,NMBS/SNCB,S7,Vilvorde -- Bruxelles-Luxembourg,,100,,,
385,NMBS/SNCB,S7,Bruxelles-Luxembourg -- Malines,,100,,,
386,NMBS/SNCB,S9,Bruxelles-Luxembourg -- Landen,,100,,,
387,NMBS/SNCB,S5,Malines -- Enghien,,100,,,
388,NMBS/SNCB,S5,Malines -- Grammont,,100,,,
389,NMBS/SNCB,S5,Hal -- Malines,,100,,,
39,NMBS/SNCB,BUS,Vilvorde -- Anvers-Central,,700,,,
390,NMBS/SNCB,S5,Vilvorde -- Hal,,100,,,
391,NMBS/SNCB,S5,Vilvorde -- Enghien,,100,,,
392,NMBS/SNCB,S5,Bruxelles-Luxembourg -- Hal,,100,,,
393,NMBS/SNCB,S5,Vilvorde -- Grammont,,100,,,
394,NMBS/SNCB,IC,Schaerbeek -- Binche,,103,,,
395,NMBS/SNCB,IC,Turnhout -- Binche,,103,,,
396,NMBS/SNCB,IC,Schaerbeek -- Manage,,103,,,
397,NMBS/SNCB,IC,Schaerbeek -- Hal,,103,,,
398,NMBS/SNCB,IC,Schaerbeek -- Braine-le-Comte,,103,,,
399,NMBS/SNCB,IC,Turnhout -- La Louvière-Sud,,103,,,
4,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Courtrai,,700,,,
40,NMBS/SNCB,BUS,Malines -- Willebroek,,700,,,
400,NMBS/SNCB,IC,Schaerbeek -- La Louvière-Sud,,103,,,
401,NMBS/SNCB,IC,Bruxelles-Midi -- Landen,,103,,,
402,NMBS/SNCB,IC,Bruxelles-Midi -- Louvain,,103,,,
403,NMBS/SNCB,IC,Landen -- Gand-Saint-Pierre,,103,,,
404,NMBS/SNCB,IC,Louvain -- Gand-Saint-Pierre,,103,,,
405,NMBS/SNCB,IC,Louvain -- La Panne,,103,,,
406,NMBS/SNCB,IC,Landen -- Lichtervelde,,103,,,
407,NMBS/SNCB,IC,Landen -- La Panne,,103,,,
408,NMBS/SNCB,IC,Louvain -- Lichtervelde,,103,,,
409,NMBS/SNCB,S2,Louvain -- Braine-le-Comte,,100,,,
41,NMBS/SNCB,BUS,Louvain -- Ans,,700,,,
410,NMBS/SNCB,S2,Bruxelles-Nord -- Louvain,,100,,,
411,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Mons,,103,,,
412,NMBS/SNCB,IC,Brussels Airport-Zaventem -- Quévy,,103,,,
413,NMBS/SNCB,S2,Bruxelles-Midi -- Louvain,,100,,,
414,NMBS/SNCB,S2,Hal -- Louvain,,100,,,
415,NMBS/SNCB,IC,Herstal -- Mons,,103,,,
416,NMBS/SNCB,IC,Liers -- Mons,,103,,,
417,NMBS/SNCB,IC,Liers -- Tamines,,103,,,
418,NMBS/SNCB,IC,Liers -- La Louvière-Sud,,103,,,
419,NMBS/SNCB,IC,Liers -- Mouscron,,103,,,
42,NMBS/SNCB,BUS,Anvers-Berchem -- Puurs,,700,,,
420,NMBS/SNCB,IC,Liers -- Tournai,,103,,,
421,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
422,NMBS/SNCB,IC,Liège-Guillemins -- La Louvière-Sud,,103,,,
423,NMBS/SNCB,IC,Namur -- Mons,,103,,,
424,NMBS/SNCB,IC,Namur -- Mouscron,,103,,,
425,NMBS/SNCB,IC,Namur -- Tamines,,103,,,
426,NMBS/SNCB,IC,Namur -- La Louvière-Sud,,103,,,
427,NMBS/SNCB,IC,Namur -- Tournai,,103,,,
428,NMBS/SNCB,IC,Charleroi-Central -- La Louvière-Sud,,103,,,
429,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
43,NMBS/SNCB,BUS,Herentals -- Mol,,700,,,
